#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
4WARD Project,Introduction. (4)
50 Years of Integer Programming,Solution of a Large-Scale Traveling-Salesman Problem. (5)
@ICPR,Understanding Human Activities Through 3D Sensors - Second International Workshop, UHA3DS 2016, Held in Conjunction with the 23rd International Conference on Pattern Recognition, ICPR 2016, Cancun, Mexico, December 4, 2016, Revised Selected Papers (4)
A Comprehensive Guide Through the Italian Database Research,How Data Mining and Machine Learning Evolved from Relational Data Base to Data Science. (19)
A Half-Century of Automata Theory,Hazard Algebras (Extended Abstract). (2)
A History of Personal Workstations,The dynabook: past, present, and future. (2),User technology: from pointing to pondering. (2)
A Passion for Fuzzy Sets,Generation of Interval-Valued Fuzzy Negations from Trillas' Theorem. The Case of Interval Type-2 Fuzzy Sets. (5)
A Way with Words,The Lexical Population of Semantic Types in Hanks?s PDEV. (3)
A-SSCC,Dual-loop 2-step ZQ calibration for dedicated power supply voltage in LPDDR4 SDRAM. (35)
A4Cloud,A Certification Framework for Cloud Security Properties: The Monitoring Path. (4),Definition of Data Sharing Agreements - The Case of Spanish Data Protection Law. (4)
AAAI Fall Symposium: AI and Consciousness,LIDA: A Computational Model of Global Workspace Theory and Developmental Learning. (7)
AAAI Fall Symposium: AI in Eldercare: New Solutions to Old Problems,TigerPlace: An Innovative Educational and Research Environment. (11)
AAAI Fall Symposium: ALEC,Data and Deep Models Applied to Cyber Security Data Analysis. (6)
AAAI Fall Symposium: Biologically Inspired Cognitive Architectures,Figurative Language: "Meaning" is Often More than Just a Sum of the Parts. (5),Graded Attractors: Configuring Context-Dependent Workspaces for Ideation. (5),The SAL Integrated Cognitive Architecture. (5),Fitting a Model to Behavior Tells Us What Changes Cognitively when under Stress and with Caffeine. (5)
AAAI Fall Symposium: Complex Adaptive Systems and the Threshold Effect,Timing the Delivery of Preterm Fetus: A Case Study Based on Computer Simulation. (6)
AAAI Fall Symposium: Computational Models of Narrative,A Cultural Computing Approach to Interactive Narrative: The Case of the Living Liberia Fabric. (7)
AAAI Fall Symposium: Developmental Systems,Development of Virtual Embryos with Emergent Self-Repair. (3)
AAAI Fall Symposium: Dialog with Robots,Grounding New Words on the Physical World in Multi-Domain Human-Robot Dialogues. (13)
AAAI Fall Symposium: Integrating Reasoning into Everyday Applications,Implementing Logic Spreadsheets in LESS. (4),Semantic Email Addressing: Sending to People, Not Strings. (4)
AAAI Fall Symposium: Multi-Representational Architectures for Human-Level Intelligence,Addressing the Raven's Progressive Matrices Test of "General" Intelligence. (3),Scalable Representation Structures for Visuo-Spatial Reasoning - Dynamic Explorations into Knowledge Types. (3)
AAAI Fall Symposium: Regarding the Intelligence in Distributed Intelligent Systems,Coordination in Human-Agent-Robot Teamwork. (8),Developing a Low-Cost Robot Colony. (8)
AAAI Fall Symposium: Robot-Human Teamwork in Dynamic Adverse Environment,Smart Monitoring of Complex Public Scenes. (6)
AAAI Fall Symposium: Social Networks and Social Contagion,Applied Actant-Network Theory: Toward the Automated Detection of Technoscientific Emergence from Full-Text Publications and Patents. (6),Security Games on Social Networks. (6)
AAAI Fall Symposium: Virtual Healthcare Interaction,Graphical Social Scenarios: Toward Intervention and Authoring for Adolescents with High Functioning Autism. (6)
AAAI Mobile Robot Competition,GRACE and GEORGE: Autonomous Robots for the AAAI Robot Challenge. (22)
AAAI Spring Symposium: AI Technologies for Homeland Security,Network Awareness and the Philadelphia Area Urban Wireless Network Testbed. (9)
AAAI Spring Symposium: Argumentation for Consumers of Healthcare,A Physician's Authoring Tool for Generation of Personalized Health Education in Reconstructive Surgery. (8)
AAAI Spring Symposium: Challenges to Decision Support in a Changing World,Adapting an Hypertension Home-Monitoring System to the Patient's Cardiovascular Risk. (6)
AAAI Spring Symposium: Control Mechanisms for Spatial Knowledge Processing in Cognitive / Intelligent Systems,Preface: Control Mechanisms for Spatial Knowledge Processing in Cognitive / Intelligent Systems. (4)
AAAI Spring Symposium: Creativity and (Early) Cognitive Development,The Unusual Box Test: A Non-Verbal, Non-Representational Divergent Thinking Test for Toddlers. (4)
AAAI Spring Symposium: Designing Intelligent Robots,An Ontology-based Multi-level Robot Architecture for Learning from Experiences. (17)
AAAI Spring Symposium: Distributed Plan and Schedule Management,An Examination of Criticality-Sensitive Approaches to Coordination. (11)
AAAI Spring Symposium: Educational Robotics and Beyond,iSENSE: A Web Environment and Hardware Platform for Data Sharing and Citizen Science. (9)
AAAI Spring Symposium: Formalizing and Compiling Background Knowledge and Its Applications to Knowledge Representation and Question Answering,From WordNet to a Knowlege Base. (5)
AAAI Spring Symposium: Game Theoretic and Decision Theoretic Agents,An Efficient Heuristic for Security against Multiple Adversaries in Stackelberg Games. (5),"Unrolling" Complex Task Models into MDPs. (5)
AAAI Spring Symposium: Intelligent Event Processing,An Approach for Automatic Fraud Detection in the Insurance Domain. (4),Collaboration Patterns in Event-Driven Environments for Virtual Organizations. (4),Organizing Committee. (4)
AAAI Spring Symposium: Intelligent Information Privacy Management,Ontological Semantics for Data Privacy Compliance: The NEURONA Project. (7)
AAAI Spring Symposium: Knowledge Collection from Volunteer Contributors,Using Volunteers to Annotate Biomedical Corpora for Anaphora Resolution. (11)
AAAI Spring Symposium: Learning by Reading and Learning to Read,Cross-Document Coreference Resolution: A Key Technology for Learning by Reading. (18)
AAAI Spring Symposium: Logical Formalizations of Commonsense Reasoning,Toward Domain-Neutral Human-Level Metacognition. (7)
AAAI Spring Symposium: Machine Reading,Reporting on Some Logic-Based Machine Reading Research. (7),Robust Graph Alignment Methods for Textual Inference and Machine Reading. (7)
AAAI Spring Symposium: Metacognition in Computation,Encoding extraction as inferences. (5)
AAAI Spring Symposium: Multirobot Systems and Physical Data Structures,Speech, Gesture, and Space: Investigating Explicit and Implicit Communication in Multi-Human Multi-Robot Collaborations. (4)
AAAI Spring Symposium: Quantum Interaction,Behavior of Multi-Agent Protocols Using Quantum Entanglement. (3)
AAAI Spring Symposium: Semantic Scientific Knowledge Integration,Ontology-based Scientific Data Service Composition: A Query Rewriting-based Approach. (5),TeRK: A Flexible Tool for Science and Technology Education. (5),Scientific Data and Document Processing in ChemxSeer. (5),Medical Imaging on the Semantic Web: Annotation and Image Markup. (5),Roomba Pac-Man: Teaching Autonomous Robotics through Embodied Gaming. (5)
AAAI Spring Symposium: Symbiotic Relationships between Semantic Web and Knowledge Engineering,Using a Semantic Wiki as a Knowledge Source for Rich Modeling and Question Answering. (7)
AAAI Spring Symposium: Towards Conscious AI Systems,Using Tononi Phi to Measure Consciousness of a Cognitive System While Reading and Conversing. (13)
AAAI Spring Symposium: Trust and Autonomous Systems,An Argumentation-Based Approach to Handling Trust in Distributed Decision Making. (5)
AAAI Spring Symposium: Using AI to Motivate Greater Participation in Computer Science,200 Students Can't Be Wrong! GamesCrafters, a Computational Game Theory Undergraduate Research and Development Group. (9)
AAAI Technical Report (3),A Solution to the Binding Problem for Compositional Connectionism. (7)
AAAI Technical Report (6),Understanding Diagrammatic Ink in Lecture. (7)
AAAI Workshop: AI and Ethics,Dealing with Ethical Conflicts in Autonomous Agents and Multi-Agent Systems. (19)
AAAI Workshop: AI for Cities,HVAC-Aware Occupancy Scheduling. (5),Indoor Trajectory Identification: Snapping with Uncertainty. (5),Towards Detecting Rumours in Social Media. (5),Living Campus: Towards a Context-Aware Energy Efficient Campus Using Weighted Case Based Reasoning. (5)
AAAI Workshop: AI for Transportation,Self-Driving Aircraft Towing Vehicles: A Preliminary Report. (10)
AAAI Workshop: Artificial Intelligence for Cyber Security,Active Perception for Cyber Intrusion Detection and Defense. (8)
AAAI Workshop: Computer Poker and Imperfect Information,Decision-Theoretic Clustering of Strategies. (4),Solving Games with Functional Regret Estimation. (4),Automatic Public State Space Abstraction in Imperfect Information Games. (4)
AAAI Workshop: Expanding the Boundaries of Health Informatics Using AI,Predicting 30-Day Risk and Cost of "All-Cause" Hospital Readmissions. (8)
AAAI Workshop: Plan, Activity, and Intent Recognition,A General Framework for Recognizing Complex Events in Markov Logic. (4),Hierarchical Modeling to Facilitate Personalized Word Prediction for Dialogue. (4)
AAAI Workshop: Scholarly Big Data,Modeling Topic-Level Academic Influence in Scientific Literatures. (8),Scholarly Big Data: AI Perspectives, Challenges, and Ideas, Papers from the 2015 AAAI Workshop, Austin, Texas, USA, January, 2015. (8)
AAAI Workshop: Trading Agent Design and Analysis,Empirical Analysis of Auctioneer Profitability in QuiBids Penny Auctions. (5)
AAAI Workshop: WWW and Population Health Intelligence,Discourse, Health and Well-Being of Military Populations Through the Social Media Lens. (8),Monitoring Discussion of Vaccine Adverse Events in the Media: Opportunities from the Vaccine Sentimeter. (8)
AAAI Workshop: WWW and Public Health Intelligence,The Surveillance Window Application (SWAP): A Web-Hosted Tool to Facilitate Situational Awareness during Outbreaks. (9)
AAAI/IAAI, Vol. 2,Amelia. (9)
AAAI/MIT Press,Advances in Knowledge Discovery and Data Mining. (4)
AACC,Applied Computing, Second Asian Applied Computing Conference, AACC 2004, Kathmandu, Nepal, October 29-31, 2004. Proceedings (5),Mining Top - k Ranked Webpages Using Simulated Annealing and Genetic Algorithms. (5),Progressive Boosting for Classifier Committee Learning. (5)
AAECC,An Improvement of Tardos's Collusion-Secure Fingerprinting Codes with Very Short Lengths. (7)
AAG,Using non-linear logic for construction of self-stabilizing hammock structure. (8),Tiling Freeform Shapes With Straight Panels: Algorithmic Methods. (8),The use of virtual work for the formfinding of fabric, shell and gridshell structures. (8)
AALTD@PKDD/ECML,Quantifying Quality of Actions Using Wearable Sensor. (8)
AALTD@PKDD/ECML (Revised Selected Papers),A Reservoir Computing Approach for Balance Assessment. (6)
AAMAS (2),A demonstration of the Polaris poker system. (16)
AAMAS (Demos),JCAT: a platform for the TAC market design competition. (8),A context-aware personal desktop assistant. (8)
AAMAS (PhD),Emotionally based multi-agent e-commerce platform. (1),Fairness in multi-agent systems. (1),Cognitive agents with non-monotonic reasoning. (1),Designing convivial digital cities. (1),Business process interoperability: extended abstract. (1),Extending agent languages for autonomy. (1),Multi-agent search using sensors with heterogeneous capabilities. (1),Automatic induction of generalization hierarchies for reinforcement learning. (1),An agent-oriented approach to support change propagation in software evolution. (1),Models and algorithmic approaches for cooperative multi-robot systems: thesis abstract. (1),Content-oriented composite service negotiation with complex preferences. (1),AIM: autonomous intersection management. (1)
AAMAS Industrial Applications,Lessons learned from autonomous sciencecraft experiment. (16)
ABAC@CODASPY,Attribute Based Access Control for Healthcare Resources. (6),Position Paper: Towards a Moving Target Defense Approach for Attribute-based Access Control. (6)
ABCD-NP@MICCAI,ABCD Neurocognitive Prediction Challenge 2019: Predicting Individual Residual Fluid Intelligence Scores from Cortical Grey Matter Morphology. (15),ABCD Neurocognitive Prediction Challenge 2019: Predicting Individual Fluid Intelligence Scores from Structural MRI Using Probabilistic Segmentation and Kernel Ridge Regression. (15)
ABDI@MICCAI,Semi-automatic Crohn's Disease Severity Estimation on MR Imaging. (12)
ABZ (Case Study),Validation of the ABZ Landing Gear System Using ProB. (5)
AC,Combining Normal Communication with Ontology Alignment. (5),Optimal Communication Vocabularies and Heterogeneous Ontologies. (5)
ACAC,Adaptive Middleware for Heterogeneous Defense Networks-An Exploratory Simulation Study. (3),The Architecture of an FPGA-Style Programmable Fuzzy Logic Controller Chip. (3),On the Feasibility of Fixed-Length Block Structured Architectures. (3),An Exponential Lower Bound on OBDD Refutations for Pigeonhole Formulas (3),Parallel Architecture for the Implementation of the Embedded Zerotree Wavelet Algorithm. (3),Cartesian product of hypergraphs: properties and algorithms (3),Static Scheduling for Out-of-order Instruction Issue Processors. (3),A Scalable Re-Configurable Processor. (3),Automated Component Adaptation by Forced Simulation. (3)
